Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-02,CINF,-0.0136,-0.0056,0.0004,-0.0117
2025-12-03,CINF,-0.0057,-0.0056,0.0004,-0.0117
2025-12-04,CINF,0.0011,-0.0056,0.0004,-0.0117
2025-12-05,CINF,-0.0044,-0.0056,0.0004,-0.0117
2025-12-02,CIVI,-0.0138,0.006,0.0281,-0.0162
2025-12-03,CIVI,0.0376,0.006,0.0281,-0.0162
2025-12-04,CIVI,0.0023,0.006,0.0281,-0.0162
2025-12-05,CIVI,-0.0023,0.006,0.0281,-0.0162
2025-12-02,CL,-0.014,-0.0059,0.0026,-0.0144
2025-12-03,CL,-0.0079,-0.0059,0.0026,-0.0144
2025-12-04,CL,-0.0077,-0.0059,0.0026,-0.0144
2025-12-05,CL,0.0061,-0.0059,0.0026,-0.0144
2025-12-02,CLX,-0.0049,-0.0036,-0.0008,-0.0064
2025-12-03,CLX,-0.0068,-0.0036,-0.0008,-0.0064
2025-12-04,CLX,-0.0007,-0.0036,-0.0008,-0.0064
2025-12-05,CLX,-0.0019,-0.0036,-0.0008,-0.0064
2025-12-02,CMBT,0.0169,0.0041,0.0226,-0.0144
2025-12-03,CMBT,0.0231,0.0041,0.0226,-0.0144
2025-12-04,CMBT,-0.0126,0.0041,0.0226,-0.0144
2025-12-05,CMBT,-0.011,0.0041,0.0226,-0.0144
2025-12-02,CMCSA,0.0166,0.0069,0.0185,-0.0048
2025-12-03,CMCSA,0.0152,0.0069,0.0185,-0.0048
2025-12-04,CMCSA,-0.0084,0.0069,0.0185,-0.0048
2025-12-05,CMCSA,0.004,0.0069,0.0185,-0.0048
2025-12-02,CME,-0.0054,-0.0074,-0.0041,-0.0106
2025-12-03,CME,-0.0114,-0.0074,-0.0041,-0.0106
