Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2026-01-01,MP,22.0,15.8,26.6,5.0
2026-02-01,MP,9.2,15.8,26.6,5.0
2024-11-01,MPC,18.8,23.7,30.0,17.4
2024-12-01,MPC,28.6,23.7,30.0,17.4
2025-01-01,MPC,16.8,23.7,30.0,17.4
2025-02-01,MPC,17.3,23.7,30.0,17.4
2025-03-01,MPC,21.1,23.7,30.0,17.4
2025-04-01,MPC,33.0,23.7,30.0,17.4
2025-05-01,MPC,28.9,23.7,30.0,17.4
2025-06-01,MPC,15.4,23.7,30.0,17.4
2025-07-01,MPC,17.5,23.7,30.0,17.4
2025-08-01,MPC,23.4,23.7,30.0,17.4
2025-09-01,MPC,24.7,23.7,30.0,17.4
2025-10-01,MPC,20.3,23.7,30.0,17.4
2025-11-01,MPC,27.3,23.7,30.0,17.4
2025-12-01,MPC,36.2,23.7,30.0,17.4
2026-01-01,MPC,21.1,23.7,30.0,17.4
2026-02-01,MPC,34.7,23.7,30.0,17.4
2024-11-01,MPWR,249.9,151.9,209.0,94.9
2024-12-01,MPWR,78.8,151.9,209.0,94.9
2025-01-01,MPWR,123.6,151.9,209.0,94.9
2025-02-01,MPWR,127.4,151.9,209.0,94.9
2025-03-01,MPWR,98.9,151.9,209.0,94.9
2025-04-01,MPWR,158.6,151.9,209.0,94.9
2025-05-01,MPWR,160.2,151.9,209.0,94.9
2025-06-01,MPWR,90.0,151.9,209.0,94.9
2025-07-01,MPWR,92.0,151.9,209.0,94.9
2025-08-01,MPWR,163.6,151.9,209.0,94.9
2025-09-01,MPWR,137.1,151.9,209.0,94.9
2025-10-01,MPWR,228.5,151.9,209.0,94.9
2025-11-01,MPWR,207.2,151.9,209.0,94.9
2025-12-01,MPWR,108.1,151.9,209.0,94.9
2026-01-01,MPWR,262.5,151.9,209.0,94.9
2026-02-01,MPWR,150.0,151.9,209.0,94.9
2024-11-01,MRK,9.0,10.9,15.3,6.5
2024-12-01,MRK,7.3,10.9,15.3,6.5
2025-01-01,MRK,7.8,10.9,15.3,6.5
2025-02-01,MRK,19.1,10.9,15.3,6.5
2025-03-01,MRK,10.3,10.9,15.3,6.5
2025-04-01,MRK,13.8,10.9,15.3,6.5
2025-05-01,MRK,11.4,10.9,15.3,6.5
2025-06-01,MRK,7.0,10.9,15.3,6.5
2025-07-01,MRK,8.6,10.9,15.3,6.5
2025-08-01,MRK,10.3,10.9,15.3,6.5
2025-09-01,MRK,8.2,10.9,15.3,6.5
2025-10-01,MRK,7.8,10.9,15.3,6.5
2025-11-01,MRK,23.8,10.9,15.3,6.5
2025-12-01,MRK,11.5,10.9,15.3,6.5
2026-01-01,MRK,8.5,10.9,15.3,6.5
2026-02-01,MRK,12.7,10.9,15.3,6.5
2024-11-01,MRNA,20.9,9.9,16.0,3.7
2024-12-01,MRNA,10.0,9.9,16.0,3.7
2025-01-01,MRNA,17.0,9.9,16.0,3.7
2025-02-01,MRNA,9.4,9.9,16.0,3.7
2025-03-01,MRNA,11.3,9.9,16.0,3.7
2025-04-01,MRNA,5.7,9.9,16.0,3.7
